State,Weather,Budget Level,Budget (INR),Transportation Options,Food,Hotels,Famous Places to Visit,Activities,Popularity,Reviews,Season,Language,Safety,Family-Friendly,Cultural Highlights,Number of Days in Package,Average Daily Activity Cost,Average Daily Food Cost,Number of Famous Places Covered,Overall Rating (Out of 5),Discount Percentage,Train Cost (Low),Train Cost (High),Bus Cost (Low),Bus Cost (High),Flight Cost (Low),Flight Cost (High),Car Rental Cost (Low),Car Rental Cost (High)
Tripura,Pleasant,Low,33926,Cost Level: Low,Local Cuisine: 645 INR per day,3-star: 1152 INR per night,"Ujjayanta Palace, Neermahal","River Rafting, Trekking, Cultural Tours",Low,3.5/5,Summer,"Bengali, Kokborok",Very Safe,No,Festival,6,1781,645,2,3.5,7,413,1069,282,732,4827,7679,1450,2513
Nagaland,Pleasant,Low,42153,Cost Level: High,Local Cuisine: 1727 INR per day,3-star: 2176 INR per night,"Dzükou Valley, Kohima War Cemetery","River Rafting, Cultural Tours, Trekking",Low,4.0/5,Winter,"English, Nagamese",Very Safe,No,Local Traditions,5,984,1727,2,4.0,18,426,1619,223,945,3459,9826,865,3738
Arunachal Pradesh,Rainy,Medium,37953,Cost Level: High,Local Cuisine: 1690 INR per day,Homestay: 3371 INR per night,"Ziro Valley, Tawang Monastery","River Rafting, Boating",Low,3.7/5,Winter,"Hindi, English",Moderately Safe,No,Art Exhibitions,4,1790,1690,2,3.7,29,482,1503,251,569,4827,8891,1195,3969
Tripura,Pleasant,High,19500,Cost Level: High,Local Cuisine: 1127 INR per day,Homestay: 2397 INR per night,"Ujjayanta Palace, Neermahal","Wildlife Safari, River Rafting, Cultural Tours",Moderate,4.0/5,Winter,"Bengali, Kokborok",Safe for Solo Travelers,No,Festival,8,972,1127,2,4.0,16,746,1419,194,752,3032,9443,1330,3833
Mizoram,Pleasant,High,9353,Cost Level: Low,Local Cuisine: 959 INR per day,3-star: 3129 INR per night,"Phawngpui National Park, Vantawng Falls",Boating,High,4.9/5,Summer,Mizo,Very Safe,No,Local Traditions,4,1543,959,2,4.9,8,402,1067,142,736,3232,9082,1749,3888
Nagaland,Sunny,Low,32833,Cost Level: Low,Local Cuisine: 1100 INR per day,3-star: 2774 INR per night,"Kohima War Cemetery, Dzükou Valley","Boating, Trekking",Low,4.5/5,Monsoon,"English, Nagamese",Safe for Solo Travelers,Yes,Local Traditions,4,1382,1100,2,4.5,10,562,1892,232,738,3837,9770,1346,3423
Arunachal Pradesh,Pleasant,Medium,38853,Cost Level: High,Local Cuisine: 1858 INR per day,Homestay: 4459 INR per night,"Ziro Valley, Tawang Monastery","Cultural Tours, Wildlife Safari, River Rafting",High,4.0/5,Summer,"Hindi, English",Moderately Safe,Yes,Festival,3,858,1858,2,4.0,17,564,1029,233,953,3683,9827,894,3771
Tripura,Chilly,High,20800,Cost Level: Low,Local Cuisine: 1748 INR per day,Homestay: 1859 INR per night,"Neermahal, Ujjayanta Palace","River Rafting, Cultural Tours, Boating",High,4.3/5,Monsoon,"Bengali, Kokborok",Moderately Safe,No,Festival,4,1324,1748,2,4.3,27,715,1683,207,519,3059,9630,1305,3030
Mizoram,Sunny,High,33051,Cost Level: High,Local Cuisine: 1085 INR per day,3-star: 2689 INR per night,"Vantawng Falls, Phawngpui National Park","River Rafting, Wildlife Safari, Cultural Tours",Low,4.7/5,Summer,Mizo,Moderately Safe,Yes,Local Traditions,4,910,1085,2,4.7,27,776,1146,144,523,3246,7890,1540,3334
Nagaland,Pleasant,Medium,39487,Cost Level: High,Local Cuisine: 1054 INR per day,Homestay: 4474 INR per night,"Dzükou Valley, Kohima War Cemetery",River Rafting,High,4.3/5,Winter,"English, Nagamese",Moderately Safe,Yes,Art Exhibitions,3,971,1054,2,4.3,24,376,1832,287,956,4066,6768,1094,2662
Arunachal Pradesh,Pleasant,Medium,40813,Cost Level: Low,Local Cuisine: 1787 INR per day,Homestay: 1271 INR per night,"Ziro Valley, Tawang Monastery","Wildlife Safari, River Rafting, Boating",Low,4.1/5,Summer,"Hindi, English",Very Safe,Yes,Local Traditions,7,1130,1787,2,4.1,24,518,1497,264,944,3447,9677,1607,2939
Manipur,Pleasant,Low,30020,Cost Level: Low,Local Cuisine: 1447 INR per day,3-star: 3521 INR per night,"Kangla Fort, Loktak Lake","Wildlife Safari, Trekking",Moderate,3.6/5,Monsoon,Manipuri,Safe for Solo Travelers,No,Art Exhibitions,3,1338,1447,2,3.6,15,482,1751,175,947,4990,8077,1738,2885
Nagaland,Rainy,Medium,19115,Cost Level: High,Local Cuisine: 615 INR per day,3-star: 2500 INR per night,"Dzükou Valley, Kohima War Cemetery","Boating, Wildlife Safari",Moderate,4.0/5,Summer,"English, Nagamese",Very Safe,Yes,Local Traditions,6,1148,615,2,4.0,24,524,1961,268,791,3038,9462,1421,3848
Manipur,Rainy,Medium,27473,Cost Level: High,Local Cuisine: 1979 INR per day,3-star: 1246 INR per night,"Loktak Lake, Kangla Fort","Trekking, Cultural Tours",Moderate,4.0/5,Summer,Manipuri,Moderately Safe,No,Local Traditions,6,611,1979,2,4.0,30,700,1186,294,982,4719,6926,1776,2997
Tripura,Pleasant,High,40597,Cost Level: High,Local Cuisine: 1049 INR per day,Homestay: 1327 INR per night,"Neermahal, Ujjayanta Palace","Boating, Cultural Tours",Moderate,4.5/5,Winter,"Bengali, Kokborok",Very Safe,Yes,Festival,5,1435,1049,2,4.5,23,382,1060,269,998,3648,6147,1051,3330
Mizoram,Chilly,High,17000,Cost Level: Low,Local Cuisine: 652 INR per day,Luxury Resort: 3873 INR per night,"Phawngpui National Park, Vantawng Falls","River Rafting, Trekking, Cultural Tours",High,4.6/5,Winter,Mizo,Very Safe,Yes,Local Traditions,5,938,652,2,4.6,21,769,1168,243,863,4041,7496,1287,3495
Meghalaya,Chilly,High,45416,Cost Level: Low,Local Cuisine: 644 INR per day,Homestay: 3880 INR per night,"Cherrapunji, Living Root Bridges","Cultural Tours, Trekking, Wildlife Safari",Low,4.0/5,Winter,"Khasi, Garo",Safe for Solo Travelers,No,Art Exhibitions,5,861,644,2,4.0,20,334,1962,175,782,3675,6304,904,3063
Assam,Chilly,High,9617,Cost Level: Low,Local Cuisine: 1492 INR per day,Luxury Resort: 3829 INR per night,"Majuli Island, Kaziranga National Park",River Rafting,Moderate,4.1/5,Winter,Assamese,Very Safe,No,Festival,10,517,1492,2,4.1,25,456,1316,135,933,3186,9369,1563,3587
Tripura,Rainy,Medium,14278,Cost Level: High,Local Cuisine: 1270 INR per day,Homestay: 4501 INR per night,"Neermahal, Ujjayanta Palace",River Rafting,Low,3.7/5,Monsoon,"Bengali, Kokborok",Very Safe,Yes,Art Exhibitions,10,1302,1270,2,3.7,8,796,1021,165,860,4150,7533,1311,3895
Assam,Rainy,Low,37102,Cost Level: High,Local Cuisine: 1548 INR per day,Homestay: 1908 INR per night,"Majuli Island, Kaziranga National Park","Cultural Tours, Trekking, River Rafting",Moderate,4.3/5,Monsoon,Assamese,Moderately Safe,No,Festival,9,1527,1548,2,4.3,12,607,1824,260,682,4274,6598,1477,2819
Meghalaya,Chilly,High,28554,Cost Level: Low,Local Cuisine: 1787 INR per day,3-star: 3065 INR per night,"Cherrapunji, Living Root Bridges","Cultural Tours, Wildlife Safari, Boating",High,4.9/5,Summer,"Khasi, Garo",Very Safe,Yes,Festival,10,1690,1787,2,4.9,6,505,1486,125,848,4494,7807,1698,3729
Nagaland,Rainy,Low,26086,Cost Level: Low,Local Cuisine: 1361 INR per day,Luxury Resort: 3818 INR per night,"Dzükou Valley, Kohima War Cemetery","River Rafting, Trekking",Low,5.0/5,Monsoon,"English, Nagamese",Safe for Solo Travelers,Yes,Festival,5,750,1361,2,5.0,27,316,1561,252,964,3161,8719,1123,3697
Nagaland,Rainy,Low,45995,Cost Level: Low,Local Cuisine: 1265 INR per day,Homestay: 2023 INR per night,"Kohima War Cemetery, Dzükou Valley","Trekking, Wildlife Safari, Boating",High,4.7/5,Winter,"English, Nagamese",Very Safe,No,Festival,3,1813,1265,2,4.7,29,440,1132,272,800,3034,7935,1427,3045
Assam,Chilly,High,19343,Cost Level: High,Local Cuisine: 1481 INR per day,3-star: 2602 INR per night,"Kaziranga National Park, Majuli Island","Cultural Tours, Trekking",High,4.4/5,Monsoon,Assamese,Safe for Solo Travelers,No,Art Exhibitions,6,657,1481,2,4.4,16,427,1139,285,872,3641,8712,1928,3852
Arunachal Pradesh,Sunny,Medium,31053,Cost Level: Low,Local Cuisine: 1902 INR per day,Homestay: 1919 INR per night,"Ziro Valley, Tawang Monastery","River Rafting, Wildlife Safari, Cultural Tours",Moderate,4.7/5,Summer,"Hindi, English",Moderately Safe,No,Local Traditions,10,1176,1902,2,4.7,22,316,1645,195,759,3577,8244,1861,2871
Tripura,Sunny,Medium,14874,Cost Level: Low,Local Cuisine: 1428 INR per day,Homestay: 4185 INR per night,"Ujjayanta Palace, Neermahal","Trekking, Cultural Tours",High,4.4/5,Winter,"Bengali, Kokborok",Moderately Safe,Yes,Festival,4,811,1428,2,4.4,5,477,1514,129,527,3179,7846,1831,3985
Nagaland,Chilly,Low,29883,Cost Level: High,Local Cuisine: 1115 INR per day,Homestay: 1164 INR per night,"Kohima War Cemetery, Dzükou Valley","Boating, Cultural Tours, River Rafting",Moderate,3.8/5,Monsoon,"English, Nagamese",Moderately Safe,No,Festival,9,1615,1115,2,3.8,9,645,1786,118,502,4499,9546,927,3215
Mizoram,Rainy,Low,39295,Cost Level: Low,Local Cuisine: 1809 INR per day,3-star: 1099 INR per night,"Phawngpui National Park, Vantawng Falls","Boating, Trekking, River Rafting",Moderate,4.2/5,Summer,Mizo,Very Safe,Yes,Art Exhibitions,5,1218,1809,2,4.2,25,509,1538,255,539,4129,9895,1123,2848
Meghalaya,Pleasant,High,28824,Cost Level: Low,Local Cuisine: 1216 INR per day,Luxury Resort: 4830 INR per night,"Cherrapunji, Living Root Bridges",Trekking,Low,4.9/5,Monsoon,"Khasi, Garo",Safe for Solo Travelers,No,Art Exhibitions,9,1249,1216,2,4.9,8,480,1403,211,614,3368,9098,1877,3016
Tripura,Chilly,Low,48575,Cost Level: High,Local Cuisine: 1977 INR per day,3-star: 4300 INR per night,"Ujjayanta Palace, Neermahal","Wildlife Safari, Cultural Tours",High,4.0/5,Summer,"Bengali, Kokborok",Safe for Solo Travelers,No,Art Exhibitions,7,1722,1977,2,4.0,27,552,2000,267,613,4109,8532,1384,3280
Mizoram,Chilly,High,43027,Cost Level: High,Local Cuisine: 1224 INR per day,Homestay: 4666 INR per night,"Phawngpui National Park, Vantawng Falls","River Rafting, Wildlife Safari",High,3.6/5,Monsoon,Mizo,Moderately Safe,Yes,Local Traditions,7,1965,1224,2,3.6,15,703,1259,180,621,3669,8027,868,3628
Tripura,Sunny,High,30771,Cost Level: High,Local Cuisine: 688 INR per day,Luxury Resort: 4354 INR per night,"Ujjayanta Palace, Neermahal",Boating,Low,4.4/5,Summer,"Bengali, Kokborok",Very Safe,Yes,Art Exhibitions,3,847,688,2,4.4,28,694,1606,235,954,4069,8356,916,3200
Meghalaya,Rainy,Medium,43186,Cost Level: Low,Local Cuisine: 1251 INR per day,Homestay: 1279 INR per night,"Cherrapunji, Living Root Bridges","Trekking, Cultural Tours, Wildlife Safari",High,4.6/5,Summer,"Khasi, Garo",Safe for Solo Travelers,No,Local Traditions,6,1607,1251,2,4.6,19,580,1510,241,620,4847,6136,1028,3183
Manipur,Pleasant,Medium,36288,Cost Level: High,Local Cuisine: 1616 INR per day,Homestay: 4379 INR per night,"Kangla Fort, Loktak Lake",Boating,Low,4.3/5,Monsoon,Manipuri,Moderately Safe,Yes,Festival,9,1500,1616,2,4.3,7,375,1800,176,650,3970,9851,1837,3975
Nagaland,Pleasant,Low,45640,Cost Level: Low,Local Cuisine: 715 INR per day,Luxury Resort: 1394 INR per night,"Dzükou Valley, Kohima War Cemetery","River Rafting, Wildlife Safari",High,3.6/5,Summer,"English, Nagamese",Moderately Safe,Yes,Art Exhibitions,4,1786,715,2,3.6,13,324,1761,209,572,4428,7663,1979,3232
Assam,Sunny,Low,32494,Cost Level: High,Local Cuisine: 1102 INR per day,Luxury Resort: 2511 INR per night,"Kaziranga National Park, Majuli Island",Cultural Tours,Moderate,4.1/5,Winter,Assamese,Moderately Safe,Yes,Art Exhibitions,4,1163,1102,2,4.1,14,504,1046,178,811,3651,7730,1981,3665
Meghalaya,Sunny,High,33541,Cost Level: Low,Local Cuisine: 1412 INR per day,Luxury Resort: 2976 INR per night,"Living Root Bridges, Cherrapunji",Cultural Tours,Moderate,4.5/5,Monsoon,"Khasi, Garo",Very Safe,No,Festival,3,1723,1412,2,4.5,17,760,1513,101,845,4456,7707,1748,2632
Mizoram,Sunny,High,24951,Cost Level: Low,Local Cuisine: 652 INR per day,Luxury Resort: 4436 INR per night,"Vantawng Falls, Phawngpui National Park","Trekking, Wildlife Safari, Cultural Tours",Moderate,4.2/5,Summer,Mizo,Moderately Safe,Yes,Art Exhibitions,7,663,652,2,4.2,19,793,1540,243,547,3929,7883,1356,3524
Nagaland,Rainy,High,44407,Cost Level: Low,Local Cuisine: 1133 INR per day,Luxury Resort: 2737 INR per night,"Dzükou Valley, Kohima War Cemetery","Wildlife Safari, Boating",Moderate,4.8/5,Winter,"English, Nagamese",Safe for Solo Travelers,No,Festival,8,1276,1133,2,4.8,30,336,1526,104,626,4027,7883,920,2825
Arunachal Pradesh,Chilly,Low,13474,Cost Level: Low,Local Cuisine: 953 INR per day,Homestay: 2987 INR per night,"Tawang Monastery, Ziro Valley","Wildlife Safari, Trekking",Moderate,4.0/5,Winter,"Hindi, English",Safe for Solo Travelers,No,Local Traditions,3,584,953,2,4.0,7,574,1869,161,880,4921,7536,1724,3401
Arunachal Pradesh,Pleasant,High,17863,Cost Level: Low,Local Cuisine: 1813 INR per day,Homestay: 4651 INR per night,"Tawang Monastery, Ziro Valley","Boating, Wildlife Safari, Trekking",High,4.8/5,Monsoon,"Hindi, English",Safe for Solo Travelers,Yes,Festival,10,1873,1813,2,4.8,5,747,1910,163,828,3238,9783,1926,3889
Assam,Chilly,Medium,47073,Cost Level: High,Local Cuisine: 1990 INR per day,Homestay: 1847 INR per night,"Majuli Island, Kaziranga National Park","Boating, River Rafting, Cultural Tours",High,4.2/5,Winter,Assamese,Moderately Safe,Yes,Festival,5,1583,1990,2,4.2,22,758,1152,178,548,4571,8957,1232,3899
Mizoram,Pleasant,High,30625,Cost Level: Low,Local Cuisine: 1969 INR per day,3-star: 3913 INR per night,"Vantawng Falls, Phawngpui National Park","River Rafting, Trekking",High,5.0/5,Summer,Mizo,Very Safe,Yes,Festival,5,1101,1969,2,5.0,30,663,1662,115,952,4163,7281,1191,3842
Assam,Chilly,Low,36418,Cost Level: Low,Local Cuisine: 1827 INR per day,Luxury Resort: 4528 INR per night,"Majuli Island, Kaziranga National Park","Trekking, Boating",High,4.6/5,Summer,Assamese,Safe for Solo Travelers,No,Local Traditions,9,1371,1827,2,4.6,13,556,1029,278,799,3348,9279,1541,2727
Assam,Pleasant,Medium,19102,Cost Level: High,Local Cuisine: 1891 INR per day,3-star: 3520 INR per night,"Majuli Island, Kaziranga National Park","Boating, Cultural Tours, Wildlife Safari",Moderate,4.0/5,Monsoon,Assamese,Moderately Safe,Yes,Local Traditions,3,540,1891,2,4.0,11,487,1683,292,876,4708,9135,1316,3902
Meghalaya,Pleasant,High,40434,Cost Level: High,Local Cuisine: 897 INR per day,Homestay: 1553 INR per night,"Cherrapunji, Living Root Bridges","Trekking, Wildlife Safari, Cultural Tours",Moderate,4.6/5,Monsoon,"Khasi, Garo",Safe for Solo Travelers,No,Art Exhibitions,7,1294,897,2,4.6,29,455,1841,203,628,3723,7643,1157,3652
Mizoram,Rainy,Medium,10625,Cost Level: Low,Local Cuisine: 844 INR per day,Luxury Resort: 4840 INR per night,"Vantawng Falls, Phawngpui National Park",Wildlife Safari,High,4.6/5,Summer,Mizo,Very Safe,No,Art Exhibitions,5,1130,844,2,4.6,10,736,1643,272,693,3289,7893,896,2655
Arunachal Pradesh,Rainy,Medium,17827,Cost Level: Low,Local Cuisine: 607 INR per day,Homestay: 2859 INR per night,"Tawang Monastery, Ziro Valley","Boating, Trekking",Low,4.4/5,Monsoon,"Hindi, English",Safe for Solo Travelers,Yes,Art Exhibitions,5,1669,607,2,4.4,13,759,1533,291,524,3711,7793,881,2797
Manipur,Rainy,Medium,46334,Cost Level: Low,Local Cuisine: 674 INR per day,Luxury Resort: 1031 INR per night,"Loktak Lake, Kangla Fort","River Rafting, Wildlife Safari",High,4.1/5,Summer,Manipuri,Very Safe,Yes,Festival,10,641,674,2,4.1,6,729,1607,113,972,3362,7583,847,2715
Meghalaya,Chilly,High,24333,Cost Level: High,Local Cuisine: 529 INR per day,Luxury Resort: 4357 INR per night,"Living Root Bridges, Cherrapunji",Boating,Moderate,4.3/5,Summer,"Khasi, Garo",Safe for Solo Travelers,Yes,Local Traditions,7,547,529,2,4.3,13,762,1575,293,639,4787,7260,994,3225
Mizoram,Chilly,High,8457,Cost Level: Low,Local Cuisine: 1510 INR per day,3-star: 3401 INR per night,"Phawngpui National Park, Vantawng Falls",Wildlife Safari,Moderate,4.9/5,Monsoon,Mizo,Very Safe,No,Festival,5,1723,1510,2,4.9,28,349,1652,194,722,3295,7223,1794,3166
Manipur,Sunny,High,10483,Cost Level: Low,Local Cuisine: 1176 INR per day,Luxury Resort: 1372 INR per night,"Loktak Lake, Kangla Fort","Cultural Tours, Wildlife Safari",Moderate,3.6/5,Monsoon,Manipuri,Safe for Solo Travelers,Yes,Festival,4,888,1176,2,3.6,30,600,1738,141,784,4310,9694,1535,3995
Meghalaya,Rainy,Low,33589,Cost Level: Low,Local Cuisine: 707 INR per day,Luxury Resort: 1369 INR per night,"Cherrapunji, Living Root Bridges","Cultural Tours, River Rafting",Moderate,4.8/5,Winter,"Khasi, Garo",Very Safe,Yes,Local Traditions,6,1034,707,2,4.8,10,712,1335,282,911,3265,6998,1081,3169
Mizoram,Pleasant,High,37103,Cost Level: Low,Local Cuisine: 1978 INR per day,Luxury Resort: 2746 INR per night,"Vantawng Falls, Phawngpui National Park","Trekking, Cultural Tours, Wildlife Safari",High,3.6/5,Summer,Mizo,Moderately Safe,Yes,Festival,9,576,1978,2,3.6,5,578,1371,122,939,3866,8960,848,3671
Arunachal Pradesh,Sunny,High,41465,Cost Level: Low,Local Cuisine: 1797 INR per day,Homestay: 1126 INR per night,"Tawang Monastery, Ziro Valley","Boating, Wildlife Safari",Low,4.7/5,Winter,"Hindi, English",Moderately Safe,Yes,Local Traditions,3,1296,1797,2,4.7,8,603,1565,291,839,3711,6715,1332,3369
Arunachal Pradesh,Chilly,Low,5873,Cost Level: High,Local Cuisine: 972 INR per day,Homestay: 3318 INR per night,"Ziro Valley, Tawang Monastery","River Rafting, Cultural Tours",Moderate,4.4/5,Monsoon,"Hindi, English",Safe for Solo Travelers,No,Local Traditions,9,938,972,2,4.4,16,635,1932,209,780,3462,8199,1162,2518
Assam,Pleasant,High,7382,Cost Level: Low,Local Cuisine: 1620 INR per day,Luxury Resort: 3287 INR per night,"Majuli Island, Kaziranga National Park","River Rafting, Cultural Tours, Trekking",Moderate,4.6/5,Monsoon,Assamese,Moderately Safe,Yes,Local Traditions,8,1031,1620,2,4.6,6,568,1057,196,748,3792,7957,1674,3911
Mizoram,Pleasant,Medium,30644,Cost Level: High,Local Cuisine: 782 INR per day,Luxury Resort: 2494 INR per night,"Vantawng Falls, Phawngpui National Park","Cultural Tours, Trekking, Boating",Moderate,3.9/5,Winter,Mizo,Safe for Solo Travelers,No,Local Traditions,9,1363,782,2,3.9,6,755,1817,105,621,4584,9922,1512,2622
Assam,Sunny,Medium,14213,Cost Level: Low,Local Cuisine: 659 INR per day,3-star: 3450 INR per night,"Majuli Island, Kaziranga National Park","Boating, Wildlife Safari",Moderate,3.8/5,Monsoon,Assamese,Very Safe,No,Local Traditions,3,644,659,2,3.8,20,688,1704,219,777,4952,6808,1211,2850
Arunachal Pradesh,Rainy,Medium,5388,Cost Level: High,Local Cuisine: 1567 INR per day,Luxury Resort: 2662 INR per night,"Tawang Monastery, Ziro Valley",Trekking,High,4.9/5,Winter,"Hindi, English",Very Safe,Yes,Art Exhibitions,8,1610,1567,2,4.9,24,539,1126,265,748,3581,7838,956,2685
Assam,Chilly,High,24225,Cost Level: Low,Local Cuisine: 1150 INR per day,3-star: 2544 INR per night,"Majuli Island, Kaziranga National Park",River Rafting,Low,4.5/5,Monsoon,Assamese,Very Safe,No,Local Traditions,7,759,1150,2,4.5,10,714,1072,172,909,4615,6823,951,3124
Meghalaya,Sunny,High,15533,Cost Level: Low,Local Cuisine: 799 INR per day,Luxury Resort: 1838 INR per night,"Living Root Bridges, Cherrapunji",Wildlife Safari,Low,3.5/5,Summer,"Khasi, Garo",Very Safe,Yes,Local Traditions,10,914,799,2,3.5,24,654,1268,160,627,3129,7473,1791,3414
Assam,Pleasant,Low,32789,Cost Level: Low,Local Cuisine: 1745 INR per day,Homestay: 2781 INR per night,"Kaziranga National Park, Majuli Island","Trekking, Boating, Cultural Tours",Moderate,4.4/5,Winter,Assamese,Safe for Solo Travelers,No,Festival,10,1498,1745,2,4.4,29,672,1684,199,628,4309,6567,1862,2982
Mizoram,Rainy,High,32085,Cost Level: High,Local Cuisine: 709 INR per day,Homestay: 2317 INR per night,"Phawngpui National Park, Vantawng Falls",Trekking,High,4.2/5,Monsoon,Mizo,Very Safe,Yes,Festival,6,923,709,2,4.2,11,797,1735,294,877,4663,6049,1357,3189
Tripura,Chilly,Low,35625,Cost Level: High,Local Cuisine: 855 INR per day,Homestay: 4570 INR per night,"Ujjayanta Palace, Neermahal",River Rafting,Low,4.7/5,Summer,"Bengali, Kokborok",Moderately Safe,Yes,Local Traditions,9,1561,855,2,4.7,25,749,1761,102,625,3949,7250,1342,3098
Nagaland,Rainy,Medium,24878,Cost Level: High,Local Cuisine: 565 INR per day,3-star: 3867 INR per night,"Dzükou Valley, Kohima War Cemetery",Trekking,High,4.1/5,Summer,"English, Nagamese",Safe for Solo Travelers,Yes,Local Traditions,10,1011,565,2,4.1,28,771,1486,293,935,3226,9771,938,3778
Arunachal Pradesh,Chilly,Low,31721,Cost Level: High,Local Cuisine: 1482 INR per day,Luxury Resort: 4622 INR per night,"Tawang Monastery, Ziro Valley","River Rafting, Boating",Low,3.6/5,Summer,"Hindi, English",Very Safe,No,Art Exhibitions,8,1914,1482,2,3.6,19,456,1907,133,746,4063,6985,1204,3749
Nagaland,Chilly,Low,30878,Cost Level: Low,Local Cuisine: 1702 INR per day,Homestay: 1049 INR per night,"Dzükou Valley, Kohima War Cemetery","Cultural Tours, Wildlife Safari, River Rafting",Moderate,4.2/5,Winter,"English, Nagamese",Moderately Safe,Yes,Local Traditions,10,1499,1702,2,4.2,20,783,1783,144,657,4515,7534,1342,3776
Assam,Sunny,Low,26501,Cost Level: Low,Local Cuisine: 715 INR per day,Luxury Resort: 3554 INR per night,"Kaziranga National Park, Majuli Island","Boating, Cultural Tours",Moderate,4.3/5,Winter,Assamese,Moderately Safe,No,Art Exhibitions,4,803,715,2,4.3,28,600,1059,191,998,4671,7998,1644,3710
Arunachal Pradesh,Chilly,Medium,38834,Cost Level: Low,Local Cuisine: 1722 INR per day,3-star: 2671 INR per night,"Ziro Valley, Tawang Monastery",Boating,Moderate,4.2/5,Winter,"Hindi, English",Moderately Safe,Yes,Local Traditions,7,1014,1722,2,4.2,20,343,1145,180,535,4293,8928,1013,2943
Tripura,Rainy,Medium,29662,Cost Level: Low,Local Cuisine: 787 INR per day,Luxury Resort: 1302 INR per night,"Neermahal, Ujjayanta Palace",Cultural Tours,High,4.6/5,Winter,"Bengali, Kokborok",Moderately Safe,Yes,Festival,5,688,787,2,4.6,8,417,1213,172,567,3245,9018,1454,3419
Arunachal Pradesh,Chilly,High,47399,Cost Level: High,Local Cuisine: 999 INR per day,Homestay: 4728 INR per night,"Ziro Valley, Tawang Monastery","Boating, Wildlife Safari, River Rafting",Moderate,3.9/5,Monsoon,"Hindi, English",Very Safe,No,Festival,9,998,999,2,3.9,16,677,1177,113,504,3406,7884,809,2543
Tripura,Pleasant,High,49676,Cost Level: Low,Local Cuisine: 1929 INR per day,Luxury Resort: 3440 INR per night,"Ujjayanta Palace, Neermahal",Wildlife Safari,Low,4.2/5,Winter,"Bengali, Kokborok",Moderately Safe,Yes,Local Traditions,7,1231,1929,2,4.2,27,417,1142,258,830,3439,9281,1785,2716
Meghalaya,Pleasant,Low,13560,Cost Level: Low,Local Cuisine: 1439 INR per day,Homestay: 3350 INR per night,"Cherrapunji, Living Root Bridges","Cultural Tours, Trekking",Moderate,4.2/5,Winter,"Khasi, Garo",Very Safe,No,Festival,5,1978,1439,2,4.2,10,542,1124,298,806,3611,6781,1889,3873
Nagaland,Rainy,High,18761,Cost Level: Low,Local Cuisine: 1432 INR per day,Luxury Resort: 2912 INR per night,"Dzükou Valley, Kohima War Cemetery","River Rafting, Trekking, Wildlife Safari",Low,4.0/5,Winter,"English, Nagamese",Safe for Solo Travelers,No,Art Exhibitions,5,869,1432,2,4.0,25,776,1589,118,654,4093,9676,1293,3544
Arunachal Pradesh,Rainy,Medium,49023,Cost Level: Low,Local Cuisine: 1623 INR per day,Luxury Resort: 2532 INR per night,"Ziro Valley, Tawang Monastery","Cultural Tours, River Rafting, Boating",Moderate,4.1/5,Monsoon,"Hindi, English",Safe for Solo Travelers,No,Local Traditions,7,1397,1623,2,4.1,18,591,1239,122,870,3835,6544,1589,2741
Arunachal Pradesh,Chilly,Low,39484,Cost Level: Low,Local Cuisine: 1735 INR per day,Luxury Resort: 3973 INR per night,"Tawang Monastery, Ziro Valley","River Rafting, Wildlife Safari",Moderate,4.7/5,Summer,"Hindi, English",Very Safe,No,Art Exhibitions,5,519,1735,2,4.7,29,595,1147,124,811,4633,6598,1362,2573
Assam,Pleasant,Low,40216,Cost Level: High,Local Cuisine: 1625 INR per day,3-star: 3684 INR per night,"Majuli Island, Kaziranga National Park","River Rafting, Trekking, Cultural Tours",High,3.6/5,Winter,Assamese,Very Safe,No,Festival,3,913,1625,2,3.6,29,312,1069,131,555,3838,9854,1609,3210
Mizoram,Chilly,High,24178,Cost Level: Low,Local Cuisine: 735 INR per day,Luxury Resort: 4219 INR per night,"Phawngpui National Park, Vantawng Falls","River Rafting, Wildlife Safari, Cultural Tours",Low,4.1/5,Monsoon,Mizo,Moderately Safe,No,Art Exhibitions,4,1413,735,2,4.1,20,662,1252,169,717,4495,6264,1279,3351
Tripura,Chilly,Medium,19916,Cost Level: Low,Local Cuisine: 858 INR per day,Luxury Resort: 1638 INR per night,"Neermahal, Ujjayanta Palace","Cultural Tours, River Rafting",High,3.6/5,Monsoon,"Bengali, Kokborok",Moderately Safe,Yes,Art Exhibitions,4,1530,858,2,3.6,10,301,1414,214,941,3573,9585,1819,3602
Mizoram,Sunny,Medium,38532,Cost Level: Low,Local Cuisine: 1064 INR per day,Homestay: 3085 INR per night,"Vantawng Falls, Phawngpui National Park","Wildlife Safari, River Rafting",Low,4.2/5,Summer,Mizo,Very Safe,Yes,Festival,4,1348,1064,2,4.2,6,748,1877,148,879,4333,6096,804,3352
Nagaland,Sunny,High,28964,Cost Level: High,Local Cuisine: 572 INR per day,3-star: 3061 INR per night,"Dzükou Valley, Kohima War Cemetery","Trekking, River Rafting, Boating",Moderate,4.1/5,Winter,"English, Nagamese",Very Safe,No,Art Exhibitions,5,550,572,2,4.1,19,541,1518,157,642,4693,9789,1170,3212
